file:   ./traces/P1.lis, capacity:   1024, algo: lru, requests: 32055473, hits:   120719, ratio:  0.38
file:   ./traces/P1.lis, capacity:   1024, algo: arc, requests: 32055473, hits:   295230, ratio:  0.92
file:   ./traces/P1.lis, capacity:   2048, algo: lru, requests: 32055473, hits:   155437, ratio:  0.48
file:   ./traces/P1.lis, capacity:   2048, algo: arc, requests: 32055473, hits:   624578, ratio:  1.95
file:   ./traces/P1.lis, capacity:   4096, algo: lru, requests: 32055473, hits:   236906, ratio:  0.74
file:   ./traces/P1.lis, capacity:   4096, algo: arc, requests: 32055473, hits:  1495764, ratio:  4.67
file:   ./traces/P1.lis, capacity:   8192, algo: lru, requests: 32055473, hits:   628490, ratio:  1.96
file:   ./traces/P1.lis, capacity:   8192, algo: arc, requests: 32055473, hits:  3084157, ratio:  9.62
file:   ./traces/P1.lis, capacity:  16384, algo: lru, requests: 32055473, hits:  2138084, ratio:  6.67
file:   ./traces/P1.lis, capacity:  16384, algo: arc, requests: 32055473, hits:  5412731, ratio: 16.89
file:   ./traces/P1.lis, capacity:  32768, algo: lru, requests: 32055473, hits:  5305513, ratio: 16.55
file:   ./traces/P1.lis, capacity:  32768, algo: arc, requests: 32055473, hits:  9062373, ratio: 28.27
file:   ./traces/P1.lis, capacity:  65536, algo: lru, requests: 32055473, hits: 11011495, ratio: 34.35
file:   ./traces/P1.lis, capacity:  65536, algo: arc, requests: 32055473, hits: 14266449, ratio: 44.51
file:   ./traces/P1.lis, capacity: 131072, algo: lru, requests: 32055473, hits: 18307722, ratio: 57.11
file:   ./traces/P1.lis, capacity: 131072, algo: arc, requests: 32055473, hits: 19866181, ratio: 61.97
file:   ./traces/P1.lis, capacity: 262144, algo: lru, requests: 32055473, hits: 24156407, ratio: 75.36
file:   ./traces/P1.lis, capacity: 262144, algo: arc, requests: 32055473, hits: 24657158, ratio: 76.92
file:   ./traces/P1.lis, capacity: 524288, algo: lru, requests: 32055473, hits: 27925671, ratio: 87.12
file:   ./traces/P1.lis, capacity: 524288, algo: arc, requests: 32055473, hits: 28330874, ratio: 88.38
file:   ./traces/P2.lis, capacity:   1024, algo: lru, requests: 12729495, hits:   329931, ratio:  2.59
file:   ./traces/P2.lis, capacity:   1024, algo: arc, requests: 12729495, hits:   329805, ratio:  2.59
file:   ./traces/P2.lis, capacity:   2048, algo: lru, requests: 12729495, hits:   380080, ratio:  2.99
file:   ./traces/P2.lis, capacity:   2048, algo: arc, requests: 12729495, hits:   406542, ratio:  3.19
file:   ./traces/P2.lis, capacity:   4096, algo: lru, requests: 12729495, hits:   443721, ratio:  3.49
file:   ./traces/P2.lis, capacity:   4096, algo: arc, requests: 12729495, hits:   572648, ratio:  4.50
file:   ./traces/P2.lis, capacity:   8192, algo: lru, requests: 12729495, hits:   582260, ratio:  4.57
file:   ./traces/P2.lis, capacity:   8192, algo: arc, requests: 12729495, hits:  1049007, ratio:  8.24
file:   ./traces/P2.lis, capacity:  16384, algo: lru, requests: 12729495, hits:  1244006, ratio:  9.77
file:   ./traces/P2.lis, capacity:  16384, algo: arc, requests: 12729495, hits:  2132976, ratio: 16.76
file:   ./traces/P2.lis, capacity:  32768, algo: lru, requests: 12729495, hits:  2350757, ratio: 18.47
file:   ./traces/P2.lis, capacity:  32768, algo: arc, requests: 12729495, hits:  3485175, ratio: 27.38
file:   ./traces/P2.lis, capacity:  65536, algo: lru, requests: 12729495, hits:  4172969, ratio: 32.78
file:   ./traces/P2.lis, capacity:  65536, algo: arc, requests: 12729495, hits:  5446785, ratio: 42.79
file:   ./traces/P2.lis, capacity: 131072, algo: lru, requests: 12729495, hits:  6554444, ratio: 51.49
file:   ./traces/P2.lis, capacity: 131072, algo: arc, requests: 12729495, hits:  7506500, ratio: 58.97
file:   ./traces/P2.lis, capacity: 262144, algo: lru, requests: 12729495, hits:  9110910, ratio: 71.57
file:   ./traces/P2.lis, capacity: 262144, algo: arc, requests: 12729495, hits:  9569227, ratio: 75.17
file:   ./traces/P2.lis, capacity: 524288, algo: lru, requests: 12729495, hits: 11017109, ratio: 86.55
file:   ./traces/P2.lis, capacity: 524288, algo: arc, requests: 12729495, hits: 11068645, ratio: 86.95
file:   ./traces/P3.lis, capacity:   1024, algo: lru, requests:  3912296, hits:    41051, ratio:  1.05
file:   ./traces/P3.lis, capacity:   1024, algo: arc, requests:  3912296, hits:    43999, ratio:  1.12
file:   ./traces/P3.lis, capacity:   2048, algo: lru, requests:  3912296, hits:    45052, ratio:  1.15
file:   ./traces/P3.lis, capacity:   2048, algo: arc, requests:  3912296, hits:    59377, ratio:  1.52
file:   ./traces/P3.lis, capacity:   4096, algo: lru, requests:  3912296, hits:    51596, ratio:  1.32
file:   ./traces/P3.lis, capacity:   4096, algo: arc, requests:  3912296, hits:    91241, ratio:  2.33
file:   ./traces/P3.lis, capacity:   8192, algo: lru, requests:  3912296, hits:    63393, ratio:  1.62
file:   ./traces/P3.lis, capacity:   8192, algo: arc, requests:  3912296, hits:   157279, ratio:  4.02
file:   ./traces/P3.lis, capacity:  16384, algo: lru, requests:  3912296, hits:    81136, ratio:  2.07
file:   ./traces/P3.lis, capacity:  16384, algo: arc, requests:  3912296, hits:   273980, ratio:  7.00
file:   ./traces/P3.lis, capacity:  32768, algo: lru, requests:  3912296, hits:   139485, ratio:  3.57
file:   ./traces/P3.lis, capacity:  32768, algo: arc, requests:  3912296, hits:   669507, ratio: 17.11
file:   ./traces/P3.lis, capacity:  65536, algo: lru, requests:  3912296, hits:   497558, ratio: 12.72
file:   ./traces/P3.lis, capacity:  65536, algo: arc, requests:  3912296, hits:  1051962, ratio: 26.89
file:   ./traces/P3.lis, capacity: 131072, algo: lru, requests:  3912296, hits:  1752194, ratio: 44.79
file:   ./traces/P3.lis, capacity: 131072, algo: arc, requests:  3912296, hits:  1980715, ratio: 50.63
file:   ./traces/P3.lis, capacity: 262144, algo: lru, requests:  3912296, hits:  2547620, ratio: 65.12
file:   ./traces/P3.lis, capacity: 262144, algo: arc, requests:  3912296, hits:  2643450, ratio: 67.57
file:   ./traces/P3.lis, capacity: 524288, algo: lru, requests:  3912296, hits:  3114981, ratio: 79.62
file:   ./traces/P3.lis, capacity: 524288, algo: arc, requests:  3912296, hits:  3118604, ratio: 79.71
file:   ./traces/P4.lis, capacity:   1024, algo: lru, requests: 19776090, hits:   531000, ratio:  2.69
file:   ./traces/P4.lis, capacity:   1024, algo: arc, requests: 19776090, hits:   532104, ratio:  2.69
file:   ./traces/P4.lis, capacity:   2048, algo: lru, requests: 19776090, hits:   586135, ratio:  2.96
file:   ./traces/P4.lis, capacity:   2048, algo: arc, requests: 19776090, hits:   589127, ratio:  2.98
file:   ./traces/P4.lis, capacity:   4096, algo: lru, requests: 19776090, hits:   655767, ratio:  3.32
file:   ./traces/P4.lis, capacity:   4096, algo: arc, requests: 19776090, hits:   691251, ratio:  3.50
file:   ./traces/P4.lis, capacity:   8192, algo: lru, requests: 19776090, hits:   721899, ratio:  3.65
file:   ./traces/P4.lis, capacity:   8192, algo: arc, requests: 19776090, hits:   823489, ratio:  4.16
file:   ./traces/P4.lis, capacity:  16384, algo: lru, requests: 19776090, hits:   805645, ratio:  4.07
file:   ./traces/P4.lis, capacity:  16384, algo: arc, requests: 19776090, hits:  1139732, ratio:  5.76
file:   ./traces/P4.lis, capacity:  32768, algo: lru, requests: 19776090, hits:  1036143, ratio:  5.24
file:   ./traces/P4.lis, capacity:  32768, algo: arc, requests: 19776090, hits:  2221820, ratio: 11.23
file:   ./traces/P4.lis, capacity:  65536, algo: lru, requests: 19776090, hits:  2127595, ratio: 10.76
